modelo,dataset,abordagem,n_pareado,wins,ties,losses,win_rate,tie_rate,loss_rate,delta_pareado,delta_ci95_low,delta_ci95_high,mcnemar_p_exato,mcnemar_p_holm
gemma4:e4b,ARC-Challenge,cot,100,2,95,3,0.02,0.95,0.03,-0.01,-0.06,0.03,1.0,1.0
gemma4:e4b,ARC-Challenge,for,100,1,97,2,0.01,0.97,0.02,-0.01,-0.04,0.02,1.0,1.0
gemma4:e4b,ARC-Challenge,gflow,100,0,98,2,0.0,0.98,0.02,-0.02,-0.05,0.0,0.5,1.0
gemma4:e4b,EleutherAI/hendrycks_math,cot,99,4,85,10,0.0404,0.8586,0.101,-0.0606,-0.1313,0.0101,0.179565,1.0
gemma4:e4b,EleutherAI/hendrycks_math,for,99,1,90,8,0.0101,0.9091,0.0808,-0.0707,-0.1313,-0.0202,0.039062,0.468744
gemma4:e4b,EleutherAI/hendrycks_math,gflow,99,3,88,8,0.0303,0.8889,0.0808,-0.0505,-0.1111,0.0101,0.226562,1.0
gemma4:e4b,GSM8K,cot,100,1,99,0,0.01,0.99,0.0,0.01,0.0,0.03,1.0,1.0
gemma4:e4b,GSM8K,for,100,1,97,2,0.01,0.97,0.02,-0.01,-0.05,0.02,1.0,1.0
gemma4:e4b,GSM8K,gflow,100,1,98,1,0.01,0.98,0.01,0.0,-0.03,0.03,1.0,1.0
gemma4:e4b,truthfulqa/truthful_qa,cot,72,2,66,4,0.0278,0.9167,0.0556,-0.0278,-0.0972,0.0417,0.6875,1.0
gemma4:e4b,truthfulqa/truthful_qa,for,72,3,66,3,0.0417,0.9167,0.0417,0.0,-0.0694,0.0694,1.0,1.0
gemma4:e4b,truthfulqa/truthful_qa,gflow,72,3,62,7,0.0417,0.8611,0.0972,-0.0556,-0.1389,0.0278,0.34375,1.0
